STT,Name,Price,RAM,Hard Drive,Weight,Brand Rank,CPU Rank,GPU Rank,Inch,Demand
173,Laptop Acer Aspire Vero AV15 51 58HB i5 1155G7/8GB/512GB/Win11 (NX.AYCSV.002),12990000,8,512,1.8,15,12,15,15.6,1
174,Laptop Acer TravelMate P4 TMP414 51 73F4 i7 1165G7/16GB/1TB/Win11 (NX.VP2SV.00W),17990000,16,512,1.4,15,13,15,14,1
175,Laptop Lenovo Ideapad 5 Pro 14IAP7 i5 1240P/16GB/512GB/Win11 (82SH000SVN),23490000,16,512,1.42,10,28,15,14,1
176,Laptop Asus Zenbook 14 OLED UX3402ZA i5 1240P/8GB/512GB/90Hz/Cáp/Túi/Win11 (KM220W),20490000,8,512,1.39,14,28,15,14,1
177,Laptop Asus Zenbook 14 Flip OLED UP3404VA i7 1360P/16GB/512GB/Touch/Pen/Cáp/Túi/Win11 (KN039W),30490000,16,256,1.5,14,34,15,14,1
178,Laptop MacBook Air 15 inch M2 2023 8CPU/8GB/256GB/10GPU,31890000,8,512,1.51,1,24,24,15.3,1
179,Laptop Apple MacBook Pro 14 inch M2 Pro 2023 10-core CPU/16GB/512GB/16-core GPU,47690000,16,512,1.6,1,24,25,14.2,1
180,Laptop Asus Vivobook Pro 15 OLED K6502VU i5 13500H/16GB/512GB/6GB RTX4050/Win11 (MA089W),33590000,16,512,1.8,14,39,7,15.6,1
181,Laptop MSI Prestige 14 Evo B13M i5 13500H/16GB/512GB/Balo/Win11 (401VN),24690000,16,512,1.49,12,39,15,14,1
182,Laptop MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/1TB/19-core GPU,64990000,16,512,2.15,1,24,26,16.2,1
183,Laptop Apple MacBook Pro 16 inch M2 Pro 2023 12-core CPU/16GB/512GB/19-core GPU,59390000,16,512,2.15,1,24,26,16.2,1
184,Laptop HP Envy 16 h0205TX i9 12900H/32GB/512GB/6GB RTX3060/Touch/Win11 (7C0T2PA),53390000,32,512,2.32,8,238,8,16,1
185,Laptop HP ZBook Firefly 16 G10 i7 1355U/16GB/512GB/4GB RTXA500/Win11 Pro (740J1AV),47190000,16,512,1.72,8,23,12,16,1
186,Laptop LG gram 2023 i7 1360P/16GB/1TB/Win11 (17Z90R-G.AH78A5),45190000,16,256,1.35,11,34,15,17,1
187,Laptop Surface Pro 9 i7 1255U/16GB/256GB/Touch/120Hz/Win11,44990000,16,512,0.879,2,20,15,13,1
188,Laptop Lenovo Thinkpad P16s Gen 1 i7 1260P/16GB/512GB/4GB QuadroT550/Win11 Pro (21BT0064VN),44490000,16,512,1.8,10,27,23,16,1
189,Laptop Asus Vivobook Pro 16 OLED K6602VV i9 13900H/16GB/1TB/8GB RTX4060/Win11 (MX077W),43190000,16,1024,1.9,14,55,5,16,1
190,Laptop HP Elitebook Dragonfly G3 i7 1255U/16GB/1TB SSD/Touch/Win11 Pro (6Z980PA),41990000,16,1024,0.99,8,20,15,13.5,1
